@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4,949,2.58,15,260,200,0.904619
4,951,2.62,15,255,190,0.894811
4,950,2.6,15,255,220,0.902748
4,950,2.62,10,240,160,0.901009
4,947,2.58,20,260,200,0.901951
4,950,2.56,0,240,160,0.896664
4,948,2.56,15,270,200,0.897704
4.01,950,2.62,15,250,220,0.909697
4.01,952,2.5,15,245,200,0.907584
4,955,2.58,20,270,190,0.908825
4,946,2.6,15,250,210,0.895499
4,944,2.58,15,245,200,0.892578
4.01,941,2.52,15,230,180,0.892932
4,954,2.6,14,265,200,0.890465
4,948,2.5,10,250,210,0.900935
4,950,2.56,15,260,180,0.90929
3.995,952,2.58,20,265,210,0.89209
4.01,954,2.52,15,245,180,0.902503
4,947,2.54,15,250,180,0.898216
4,949,2.56,15,250,180,0.905526
4,947,2.56,15,250,190,0.909814
4,947,2.5,10,250,160,0.899745
4,947,2.6,15,260,210,0.904925
4,951,2.5,10,265,190,0.904663
4,949,2.54,5,250,200,0.906346
4,953,2.6,14,265,200,0.906778
4,951,2.58,20,275,180,0.900534
4,948,2.54,10,260,210,0.907987
4.01,952,2.24,15,260,130,0.892679
3.998,947,2.58,15,270,180,0.891661
4,954,2.56,15,265,200,0.909571
4,947,2.58,10,265,150,0.904447
4,944,2.58,10,265,200,0.904301
4,948,2.5,10,255,160,0.892864
4,954,2.54,15,250,190,0.899259
3.995,949,2.58,15,270,170,0.89009
4,946,2.58,15,250,200,0.89143
4,951,2.1,10,230,180,0.896968
4,948,2.58,10,265,140,0.896775
4.01,952,2.52,15,245,200,0.907187
3.995,944,2.52,15,260,210,0.909431
4,948,2.58,15,260,210,0.907315
4.002,955,2.6,14,270,220,0.902252
4.005,954,2.6,14,260,150,0.89358
4,949,2.1,0,235,180,0.894351
4,954,2.68,10,235,150,0.90709
4,943,2.64,10,260,170,0.890193
